Geography,Geographic Area Name,totalpop,hispanic_latino,white,black,american_indian,asian,native_hawaiian,other
1400000US06001408700,"Census Tract 4087, Alameda County, California",7774,3762,530,2742,11,365,45,39
1400000US06001408800,"Census Tract 4088, Alameda County, California",7257,3518,450,2305,31,592,82,34
1400000US06001408900,"Census Tract 4089, Alameda County, California",3857,2514,143,923,11,155,19,13
1400000US06001409000,"Census Tract 4090, Alameda County, California",4879,2555,365,1425,27,292,73,41
1400000US06001409100,"Census Tract 4091, Alameda County, California",2472,1527,50,629,18,122,53,10
1400000US06001409200,"Census Tract 4092, Alameda County, California",3755,2310,101,927,21,213,59,28
1400000US06001409300,"Census Tract 4093, Alameda County, California",5701,3781,235,1287,10,196,27,47
1400000US06001409400,"Census Tract 4094, Alameda County, California",5379,3784,181,858,18,388,54,23
1400000US06001409500,"Census Tract 4095, Alameda County, California",4390,2804,246,994,15,176,42,31
1400000US06001409600,"Census Tract 4096, Alameda County, California",5777,3925,142,1309,10,167,59,18
1400000US06001409700,"Census Tract 4097, Alameda County, California",5523,2779,159,1980,14,219,135,27
1400000US06001409800,"Census Tract 4098, Alameda County, California",3220,594,492,1640,8,222,20,29
1400000US06001409900,"Census Tract 4099, Alameda County, California",3546,375,997,1514,11,367,9,26
1400000US06001410000,"Census Tract 4100, Alameda County, California",3031,418,953,1167,1,267,1,26
1400000US06001410100,"Census Tract 4101, Alameda County, California",2925,794,310,1384,5,201,48,26
1400000US06001410200,"Census Tract 4102, Alameda County, California",3679,1597,212,1410,6,234,65,24
1400000US06001410300,"Census Tract 4103, Alameda County, California",4036,2816,73,832,4,131,80,8
1400000US06001410400,"Census Tract 4104, Alameda County, California",4142,1955,247,1291,7,453,18,27
1400000US06001410500,"Census Tract 4105, Alameda County, California",2553,336,426,1306,9,268,25,15
1400000US06001420100,"Census Tract 4201, Alameda County, California",2436,246,1343,40,1,585,2,33
1400000US06001420200,"Census Tract 4202, Alameda County, California",3234,381,1185,96,3,1273,2,8
1400000US06001420301,"Census Tract 4203.01, Alameda County, California",2593,191,826,107,0,1294,0,7
1400000US06001420302,"Census Tract 4203.02, Alameda County, California",2426,349,1023,74,0,755,0,23
1400000US06001420401,"Census Tract 4204.01, Alameda County, California",1597,391,642,87,4,351,1,17
1400000US06001420402,"Census Tract 4204.02, Alameda County, California",2155,552,701,164,2,550,1,25
1400000US06001420500,"Census Tract 4205, Alameda County, California",2431,289,1098,72,1,709,1,25
1400000US06001420600,"Census Tract 4206, Alameda County, California",3399,266,2127,51,6,626,2,30
1400000US06001421100,"Census Tract 4211, Alameda County, California",2031,135,1408,45,0,279,3,20
1400000US06001421200,"Census Tract 4212, Alameda County, California",3657,235,2650,58,5,376,5,25
1400000US06001421300,"Census Tract 4213, Alameda County, California",3945,279,2782,71,0,463,0,27
1400000US06001421400,"Census Tract 4214, Alameda County, California",1679,114,1255,18,0,168,1,16
1400000US06001421500,"Census Tract 4215, Alameda County, California",3745,232,2715,45,0,406,4,25
1400000US06001421600,"Census Tract 4216, Alameda County, California",3836,263,2720,102,0,431,4,46
1400000US06001421700,"Census Tract 4217, Alameda County, California",3386,271,2057,95,0,659,4,15
1400000US06001421800,"Census Tract 4218, Alameda County, California",2110,134,1450,57,2,252,3,17
1400000US06001421900,"Census Tract 4219, Alameda County, California",3901,394,2281,258,3,601,6,31
1400000US06001422000,"Census Tract 4220, Alameda County, California",4160,670,1731,779,36,527,66,58
1400000US06001422100,"Census Tract 4221, Alameda County, California",2843,728,1180,313,11,343,9,37
1400000US06001422200,"Census Tract 4222, Alameda County, California",3322,381,1745,256,2,560,6,51
1400000US06001422300,"Census Tract 4223, Alameda County, California",3811,385,2107,214,2,794,2,31
1400000US06001422400,"Census Tract 4224, Alameda County, California",4134,370,1697,222,3,1530,7,41
1400000US06001422500,"Census Tract 4225, Alameda County, California",5065,695,2404,217,7,1398,22,48
1400000US06001422700,"Census Tract 4227, Alameda County, California",4868,628,2364,117,0,1297,2,40
1400000US06001422800,"Census Tract 4228, Alameda County, California",11245,3147,3050,340,7,4175,1,23
1400000US06001422901,"Census Tract 4229.01, Alameda County, California",2322,271,713,135,5,1054,3,12
1400000US06001422902,"Census Tract 4229.02, Alameda County, California",3033,381,918,404,21,1083,15,39
1400000US06001423000,"Census Tract 4230, Alameda County, California",4676,518,2629,285,14,794,8,57
1400000US06001423100,"Census Tract 4231, Alameda County, California",4335,623,2081,560,15,657,12,46
1400000US06001423200,"Census Tract 4232, Alameda County, California",2886,818,1022,489,10,329,8,23
1400000US06001423300,"Census Tract 4233, Alameda County, California",3738,551,1674,810,2,357,7,35
1400000US06001423400,"Census Tract 4234, Alameda County, California",5057,838,2239,880,8,609,6,53
1400000US06001423500,"Census Tract 4235, Alameda County, California",3474,412,1701,459,13,571,3,43
1400000US06001423601,"Census Tract 4236.01, Alameda County, California",2824,288,1747,79,6,421,6,40
1400000US06001423602,"Census Tract 4236.02, Alameda County, California",5615,714,2141,148,12,2141,10,52
1400000US06001423700,"Census Tract 4237, Alameda County, California",4234,533,2541,143,2,692,4,21
1400000US06001423800,"Census Tract 4238, Alameda County, California",3216,230,2368,60,3,318,6,16
1400000US06001423901,"Census Tract 4239.01, Alameda County, California",2031,301,1088,260,4,202,1,18
1400000US06001423902,"Census Tract 4239.02, Alameda County, California",1464,128,989,54,3,169,0,10
1400000US06001424001,"Census Tract 4240.01, Alameda County, California",4146,763,1668,823,23,447,11,47
1400000US06001424002,"Census Tract 4240.02, Alameda County, California",2488,425,899,632,7,290,8,35
1400000US06001425101,"Census Tract 4251.01, Alameda County, California",1853,97,946,82,1,585,4,27
1400000US06001425102,"Census Tract 4251.02, Alameda County, California",3752,325,1053,499,10,1626,10,22
1400000US06001425103,"Census Tract 4251.03, Alameda County, California",2926,330,1111,438,0,787,16,23
1400000US06001425104,"Census Tract 4251.04, Alameda County, California",4374,683,1454,949,12,920,9,54
1400000US06001426100,"Census Tract 4261, Alameda County, California",6364,355,4076,71,5,1274,7,54
1400000US06001426200,"Census Tract 4262, Alameda County, California",4915,375,2992,51,0,974,3,45
1400000US06001427100,"Census Tract 4271, Alameda County, California",4063,427,2388,146,0,738,4,25
1400000US06001427200,"Census Tract 4272, Alameda County, California",4363,689,1645,177,10,1462,24,15
1400000US06001427300,"Census Tract 4273, Alameda County, California",5719,675,2094,529,27,1897,26,50
1400000US06001427600,"Census Tract 4276, Alameda County, California",4730,657,1168,642,17,1839,40,44
1400000US06001427700,"Census Tract 4277, Alameda County, California",5016,674,2362,294,12,1271,18,32
1400000US06001427800,"Census Tract 4278, Alameda County, California",4827,632,2390,192,7,1192,11,42
1400000US06001427900,"Census Tract 4279, Alameda County, California",4744,642,2367,204,12,1078,10,31
1400000US06001428000,"Census Tract 4280, Alameda County, California",2997,481,986,186,8,1080,17,15
1400000US06001428100,"Census Tract 4281, Alameda County, California",4880,631,2559,142,10,1039,16,49
1400000US06001428200,"Census Tract 4282, Alameda County, California",6644,733,3316,196,6,1732,38,51
1400000US06001428301,"Census Tract 4283.01, Alameda County, California",7044,691,2154,199,4,3370,17,41
1400000US06001428302,"Census Tract 4283.02, Alameda County, California",7120,471,2695,181,1,3220,10,29
1400000US06001428400,"Census Tract 4284, Alameda County, California",4645,688,1934,330,18,1277,35,29
1400000US06001428500,"Census Tract 4285, Alameda County, California",3339,374,1363,193,8,1083,14,12
1400000US06001428600,"Census Tract 4286, Alameda County, California",3398,432,1285,232,9,1135,18,47
1400000US06001428700,"Census Tract 4287, Alameda County, California",4751,538,1446,556,24,1694,58,44
1400000US06001430101,"Census Tract 4301.01, Alameda County, California",6747,610,1977,268,3,3518,16,34
1400000US06001430102,"Census Tract 4301.02, Alameda County, California",2553,335,1355,57,3,584,3,26
1400000US06001430200,"Census Tract 4302, Alameda County, California",7477,1108,3587,191,11,2009,14,51
1400000US06001430300,"Census Tract 4303, Alameda County, California",3940,654,1929,91,12,975,5,14
1400000US06001430400,"Census Tract 4304, Alameda County, California",2207,317,1107,51,0,534,9,29
1400000US06001430500,"Census Tract 4305, Alameda County, California",6289,1644,1715,1025,22,1424,44,31
1400000US06001430600,"Census Tract 4306, Alameda County, California",6385,955,2500,289,18,2141,39,33
1400000US06001430700,"Census Tract 4307, Alameda County, California",4209,749,1775,113,4,1231,9,39
1400000US06001430800,"Census Tract 4308, Alameda County, California",6165,1217,2263,185,15,2009,24,44
1400000US06001430900,"Census Tract 4309, Alameda County, California",5137,1496,1454,498,24,1274,49,51
1400000US06001431000,"Census Tract 4310, Alameda County, California",3091,856,914,221,6,875,7,17
1400000US06001431100,"Census Tract 4311, Alameda County, California",3537,1063,1035,436,8,683,38,33
1400000US06001431200,"Census Tract 4312, Alameda County, California",6091,1558,2259,635,16,1206,47,32
1400000US06001432100,"Census Tract 4321, Alameda County, California",4121,1043,1537,513,31,616,35,13
1400000US06001432200,"Census Tract 4322, Alameda County, California",4231,1187,1377,701,4,658,20,23
1400000US06001432300,"Census Tract 4323, Alameda County, California",4885,1752,902,499,21,1476,20,32
1400000US06001432400,"Census Tract 4324, Alameda County, California",6279,2519,936,505,16,2007,49,24
1400000US06001432501,"Census Tract 4325.01, Alameda County, California",5161,1941,756,224,10,2033,33,12
1400000US06001432502,"Census Tract 4325.02, Alameda County, California",4641,1396,535,550,13,1928,46,16
1400000US06001432601,"Census Tract 4326.01, Alameda County, California",4358,1326,828,764,5,1206,16,40
1400000US06001432602,"Census Tract 4326.02, Alameda County, California",3214,996,684,668,9,651,33,16
1400000US06001432700,"Census Tract 4327, Alameda County, California",2660,700,1070,206,5,507,7,14
1400000US06001432800,"Census Tract 4328, Alameda County, California",4121,873,1307,450,9,1226,18,19
1400000US06001433000,"Census Tract 4330, Alameda County, California",4178,1272,1056,290,4,1355,34,13
1400000US06001433102,"Census Tract 4331.02, Alameda County, California",4124,1255,572,335,9,1762,59,19
1400000US06001433103,"Census Tract 4331.03, Alameda County, California",3682,1477,445,776,12,772,25,41
1400000US06001433104,"Census Tract 4331.04, Alameda County, California",4125,1499,816,782,11,756,40,32
1400000US06001433200,"Census Tract 4332, Alameda County, California",7652,1909,1070,1190,16,2997,81,54
1400000US06001433300,"Census Tract 4333, Alameda County, California",7448,1830,1228,255,14,3784,72,26
1400000US06001433400,"Census Tract 4334, Alameda County, California",6644,876,1015,537,17,3891,43,16
1400000US06001433500,"Census Tract 4335, Alameda County, California",4557,1096,926,144,5,2223,34,9
1400000US06001433600,"Census Tract 4336, Alameda County, California",6307,1511,1172,447,13,2870,50,29
1400000US06001433700,"Census Tract 4337, Alameda County, California",3515,1824,488,336,10,664,48,9
1400000US06001433801,"Census Tract 4338.01, Alameda County, California",3637,1704,410,590,24,766,25,17
1400000US06001433802,"Census Tract 4338.02, Alameda County, California",4365,1262,481,485,14,1891,24,28
1400000US06001433900,"Census Tract 4339, Alameda County, California",6833,3230,577,1476,13,1136,137,26
1400000US06001434000,"Census Tract 4340, Alameda County, California",5564,2557,682,968,15,1081,46,43
1400000US06001435102,"Census Tract 4351.02, Alameda County, California",5870,1508,1423,949,11,1550,53,29
1400000US06001435103,"Census Tract 4351.03, Alameda County, California",7726,838,2066,560,10,3668,43,40
1400000US06001435104,"Census Tract 4351.04, Alameda County, California",7230,2519,906,888,12,2340,155,45
1400000US06001435200,"Census Tract 4352, Alameda County, California",4504,1215,1027,845,6,962,81,28
1400000US06001435300,"Census Tract 4353, Alameda County, California",5077,1849,1097,849,17,888,56,63
1400000US06001435400,"Census Tract 4354, Alameda County, California",4940,1840,944,872,12,921,61,42
1400000US06001435500,"Census Tract 4355, Alameda County, California",4104,2055,835,379,14,554,105,28
1400000US06001435601,"Census Tract 4356.01, Alameda County, California",5454,3364,636,477,20,666,97,33
1400000US06001435602,"Census Tract 4356.02, Alameda County, California",5709,3269,922,482,12,748,75,20
1400000US06001435700,"Census Tract 4357, Alameda County, California",4904,2443,840,244,7,1087,74,16
1400000US06001435800,"Census Tract 4358, Alameda County, California",5735,2112,1166,229,12,1930,55,17
1400000US06001435900,"Census Tract 4359, Alameda County, California",5431,1630,1406,179,10,1898,48,27
1400000US06001436000,"Census Tract 4360, Alameda County, California",5049,1976,1184,128,19,1500,53,16
1400000US06001436100,"Census Tract 4361, Alameda County, California",5745,2392,1042,256,10,1703,82,31
1400000US06001436200,"Census Tract 4362, Alameda County, California",4176,2687,399,484,6,413,51,22
1400000US06001436301,"Census Tract 4363.01, Alameda County, California",5785,2456,502,550,11,1976,75,42
1400000US06001436302,"Census Tract 4363.02, Alameda County, California",3903,1960,468,437,8,788,86,17
1400000US06001436402,"Census Tract 4364.02, Alameda County, California",3007,595,1250,313,0,586,20,21
1400000US06001436403,"Census Tract 4364.03, Alameda County, California",4282,1643,1043,552,14,663,101,27
1400000US06001436404,"Census Tract 4364.04, Alameda County, California",3609,973,1236,406,6,645,50,18
1400000US06001436500,"Census Tract 4365, Alameda County, California",5372,2306,771,714,8,1168,171,28
1400000US06001436601,"Census Tract 4366.01, Alameda County, California",6761,4047,588,582,13,1082,236,44
1400000US06001436602,"Census Tract 4366.02, Alameda County, California",5402,2551,406,529,20,1469,158,39
1400000US06001436700,"Census Tract 4367, Alameda County, California",3689,1924,431,247,6,865,73,20
1400000US06001436800,"Census Tract 4368, Alameda County, California",4341,1878,484,437,15,1170,150,33
1400000US06001436900,"Census Tract 4369, Alameda County, California",7099,4480,613,345,10,1288,174,35
1400000US06001437000,"Census Tract 4370, Alameda County, California",3726,1256,601,252,8,1194,194,15
1400000US06001437101,"Census Tract 4371.01, Alameda County, California",7532,1669,727,348,23,4128,293,43
1400000US06001437102,"Census Tract 4371.02, Alameda County, California",4557,1399,403,318,2,2054,158,47
1400000US06001437200,"Census Tract 4372, Alameda County, California",8696,2201,1447,688,25,3645,270,40
1400000US06001437300,"Census Tract 4373, Alameda County, California",3359,1270,367,302,4,1101,153,15
1400000US06001437400,"Census Tract 4374, Alameda County, California",3508,1919,423,141,12,754,99,44
1400000US06001437500,"Census Tract 4375, Alameda County, California",4797,3022,327,265,0,706,249,19
1400000US06001437600,"Census Tract 4376, Alameda County, California",3398,1503,344,218,12,975,160,26
1400000US06001437701,"Census Tract 4377.01, Alameda County, California",3991,2342,216,427,15,644,196,20
1400000US06001437702,"Census Tract 4377.02, Alameda County, California",4404,3333,121,202,9,538,126,24
1400000US06001437800,"Census Tract 4378, Alameda County, California",4785,1804,563,297,2,1716,201,21
1400000US06001437900,"Census Tract 4379, Alameda County, California",2426,1330,243,154,10,468,116,6
1400000US06001438000,"Census Tract 4380, Alameda County, California",3409,1148,809,188,9,1007,37,13
1400000US06001438100,"Census Tract 4381, Alameda County, California",7807,3450,1058,416,12,2393,136,21
1400000US06001438201,"Census Tract 4382.01, Alameda County, California",4752,2499,471,184,11,1227,179,14
1400000US06001438203,"Census Tract 4382.03, Alameda County, California",4200,1164,481,283,15,1982,126,21
1400000US06001438204,"Census Tract 4382.04, Alameda County, California",5940,1769,794,334,7,2529,235,29
1400000US06001438300,"Census Tract 4383, Alameda County, California",3865,1603,248,225,15,1383,225,20
1400000US06001438400,"Census Tract 4384, Alameda County, California",2460,830,366,97,0,936,112,16
1400000US06001440100,"Census Tract 4401, Alameda County, California",2656,423,858,122,0,1080,31,5
1400000US06001440200,"Census Tract 4402, Alameda County, California",5786,3885,273,211,10,1259,43,16
1400000US06001440301,"Census Tract 4403.01, Alameda County, California",7129,2288,914,304,13,3185,72,34
1400000US06001440304,"Census Tract 4403.04, Alameda County, California",4726,620,322,214,6,3290,50,21
1400000US06001440305,"Census Tract 4403.05, Alameda County, California",3682,574,400,197,1,2288,72,26
1400000US06001440306,"Census Tract 4403.06, Alameda County, California",4020,456,262,203,14,2855,46,19
1400000US06001440307,"Census Tract 4403.07, Alameda County, California",4459,903,718,212,8,2326,50,16
