"","state","1","2","3","4","5","6","7","8","9","10","11","12"
"33","NV",840.151515151515,623.818181818182,1059.48484848485,643.575757575758,658.545454545455,706.30303030303,943.969696969697,674.727272727273,719.545454545455,1209.54545454545,700.484848484848,876.242424242424
"34","NY",3571.33333333333,3332.36363636364,3276.06060606061,3190.21212121212,3605.69696969697,3650.72727272727,3544.87878787879,4027.36363636364,3771.06060606061,3271.81818181818,3258.48484848485,3416.18181818182
"35","OH",2633.06060606061,3997.24242424242,2642.36363636364,3396.90909090909,2918.63636363636,2609.66666666667,3266.75757575758,3845.93939393939,3218.48484848485,2421.69696969697,3870.48484848485,3127.51515151515
"36","OK",1229.24242424242,943.333333333333,1485.75757575758,981.151515151515,1148.87878787879,1010.69696969697,1165.33333333333,984.606060606061,861.121212121212,1576.9696969697,1302.57575757576,1245.75757575758
"37","OR",817.545454545455,803.212121212121,1059.57575757576,787.212121212121,961.878787878788,870.272727272727,1086.09090909091,783.939393939394,763.787878787879,1220.93939393939,907.515151515152,982.333333333333
"38","PA",3143.75757575758,2984.30303030303,3051.51515151515,3154.12121212121,3587.87878787879,3062.33333333333,4044.63636363636,3619.66666666667,3382.72727272727,3537.09090909091,3403.87878787879,3940.9696969697
"39","RI",415.848484848485,343.787878787879,366.727272727273,425.454545454545,449.454545454545,539.484848484848,456.030303030303,466.030303030303,437.787878787879,410.393939393939,436.878787878788,453.363636363636
"40","SC",1670.24242424242,1703.39393939394,1762.84848484848,1652.45454545455,1686.21212121212,1762.81818181818,1727.75757575758,1819.78787878788,1768.57575757576,1772.72727272727,1622.54545454545,1731.33333333333
"41","SD",257.212121212121,207.818181818182,286.151515151515,267.545454545455,263.121212121212,274.151515151515,306.242424242424,222.424242424242,217.424242424242,289.454545454545,294.151515151515,273.575757575758
"42","TN",2436.36363636364,2217.9696969697,2051.30303030303,2015.12121212121,2255.42424242424,2374.93939393939,2614.15151515152,2310.72727272727,2246.0303030303,2123.69696969697,2533.69696969697,2489.69696969697
"43","TX",9239.90909090909,8115.81818181818,8662.24242424242,8090.27272727273,7810.0303030303,7244.36363636364,7083,8418.06060606061,7589.45454545455,7767.12121212121,7561.78787878788,8759.45454545455
"44","UT",862.333333333333,901.454545454545,1227.06060606061,975.848484848485,961.636363636364,1011.33333333333,1319.75757575758,828.69696969697,932.939393939394,1456.30303030303,990.575757575758,1126.30303030303
"45","VA",1610.36363636364,1587.09090909091,2975.78787878788,2008.93939393939,1533.90909090909,2453.78787878788,2392.66666666667,1534.27272727273,1875.18181818182,3442.36363636364,1991.87878787879,1856.33333333333
"46","VT",85.5757575757576,152.939393939394,105.666666666667,150.181818181818,108.212121212121,143.545454545455,139.393939393939,200.636363636364,173.727272727273,125.878787878788,111.909090909091,142.939393939394
"47","WA",1640.15151515152,1825.21212121212,1693.72727272727,1754.24242424242,1712.12121212121,1796.30303030303,1874.63636363636,1889.63636363636,2030.33333333333,1846.45454545455,1730.30303030303,1893.33333333333
"48","WI",1570.72727272727,1512.21212121212,1937.51515151515,1731.63636363636,1801.0303030303,1861.54545454545,1876.51515151515,1590.84848484848,1502.24242424242,2634.0303030303,1881.54545454545,2046.36363636364
"49","WV",564.121212121212,528.909090909091,801.090909090909,527.272727272727,623.939393939394,682.30303030303,576.060606060606,640.060606060606,588.242424242424,544.181818181818,627.090909090909,665.363636363636
"50","WY",152.30303030303,184.575757575758,177.121212121212,168.151515151515,152.181818181818,160.090909090909,182.121212121212,168.939393939394,161.878787878788,196.787878787879,154.575757575758,224.121212121212
